track_id,time,x,y,vx,vy
0,0.53,-0.09479156390559829,-0.9675590690948469,0.42136004735138927,2.0070906254650356
0,0.54,-0.08809089516638932,-0.9481655012180957,0.6700668739208965,1.9393567876751172
0,0.55,-0.0794108733368006,-0.9295357946297966,0.8680021829588727,1.86297065882991
0,0.56,-0.06931768627432487,-0.9116420874521601,1.0093187062475721,1.7893707177636498
0,0.5700000000000001,-0.05835986295862344,-0.8943512018566341,1.095782331570143,1.729088559552605
0,0.58,-0.04699860261343921,-0.8774492401874782,1.1361260345184234,1.6901961669155918
0,0.59,-0.03557745293538357,-0.8606659097323802,1.1421149678055638,1.6783330455097945
0,0.6,-0.02439306309873397,-0.8436551605768836,1.1184389836649602,1.7010749155496607
0,0.61,-0.013988793267614751,-0.8258413851089854,1.0404269831119217,1.7813775467898196
0,0.62,-0.003621087632535572,-0.8074901614105683,1.0367705635079179,1.835122369841713
0,0.63,0.007113508840336839,-0.7886659577173014,1.073459647287241,1.8824203693266872
0,0.64,0.01853921706295446,-0.7694571378164409,1.142570822261762,1.920881990086054
0,0.65,0.031101571260372926,-0.7501951768551838,1.2562354197418464,1.9261960961257096
0,0.66,0.04583255491875929,-0.731963898683244,1.4730983658386363,1.8231278171939813
0,0.67,0.06557919361774966,-0.7179320532024798,1.9746638698990375,1.4031845480764193
0,0.68,0.08766041014459036,-0.7066511354495479,2.2081216526840697,1.128091775293183
0,0.6900000000000001,0.11215093093151995,-0.7015793080719942,2.4490520786929593,0.5071827377553739
0,0.7000000000000001,0.13806794520757854,-0.6996731233526332,2.591701427605858,0.19061847193609927
0,0.71,0.16485576505673072,-0.699005734667489,2.678781984915218,0.06673886851441546
0,0.72,0.19229903363237538,-0.6988296924064863,2.744326857564466,0.017604226100276232
0,0.73,0.22029015552620995,-0.6988615534740926,2.799112189383457,-0.003186106760633134
0,0.74,0.24873663806508062,-0.6989645303713389,2.8446482538870663,-0.010297689724625414
0,0.75,0.2775283819328726,-0.6990426654979659,2.8791743867791983,-0.007813512662702138
0,0.76,0.30653223847382954,-0.6990087016009932,2.900385654095694,0.0033963896972744045
0,0.77,0.33559714135343915,-0.6987707379579363,2.906490287960961,0.02379636430568377
0,0.78,0.3645596661596704,-0.6982186497646389,2.8962524806231236,0.055208819329743974
0,0.79,0.3932444253269571,-0.69721289675007,2.8684759167286686,0.10057530145688443
0,0.8,0.4214577116915632,-0.6955802512208716,2.8213286364606125,0.16326455291983955
0,0.81,0.4489759936424513,-0.6931159491831482,2.7518281950888066,0.24643020377234093
0,0.8200000000000001,0.4755324810324513,-0.6895866825673156,2.655648739000005,0.3529266615832638
0,0.8300000000000001,0.5008059504175238,-0.684736288129274,2.527346938507252,0.4850394438041583
0,0.84,0.524416980839533,-0.6782969328056774,2.3611030422009183,0.6439355323596629
0,0.85,0.5459374750729877,-0.670007374716178,2.15204942334547,0.8289558089499383
0,0.86,0.5649186131510961,-0.6596378917113681,1.8981138078108417,1.0369483004809887
0,0.87,0.5809385160964636,-0.6470190433268157,1.6019902945367481,1.2618848384552406
0,0.88,0.5936638613574735,-0.6320692048339525,1.272534526100988,1.4949838492863243
